deputado;partido;UF;n_ocorrencias
Marcos Montes (PSD-MG);PSD;MG;4
Marcus Pestana (PSDB-MG);PSDB;MG;3
Margarida Salomão (PT-MG);PT;MG;1
Mário Heringer (PDT-MG);PDT;MG;0
Mauro Lopes (PMDB-MG);PMDB;MG;0
Miguel Corrêa;PT;MG;0
Misael Varella (DEM-MG);DEM;MG;0
Newton Cardoso Jr (PMDB-MG);PMDB;MG;3
Odelmo Leão (PP-MG);PP;MG;1
Padre João (PT-MG);PT;MG;2
Patrus Ananias;PT;MG;0
Paulo Abi-Ackel (PSDB-MG);PSDB;MG;0
Raquel Muniz (PSD-MG);PSD;MG;3
Reginaldo Lopes (PT-MG);PT;MG;0
Renzo Braz (PP-MG);PP;MG;0
Rodrigo de Castro (PSDB-MG);PSDB;MG;0
Rodrigo Pacheco (PMDB-MG);PMDB;MG;0
Saraiva Felipe (PMDB-MG);PMDB;MG;0
Stefano Aguiar (PSD-MG);PSD;MG;0
Subtenente Gonzaga (PDT-MG);PDT;MG;2
Tenente Lúcio (PSB-MG);PSB;MG;0
Toninho Pinheiro (PP-MG);PP;MG;1
Weliton Prado (PMB-MG);PMB;MG;0
Zé Silva (SD-MG);SD;MG;0
Aguinaldo Ribeiro (PP-PB);PP;PB;2
Benjamin Maranhão (SD-PB);SD;PB;2
Damião Feliciano (PDT-PB);PDT;PB;1
Efraim Filho (DEM-PB);DEM;PB;1
Hugo Motta (PMDB-PB);PMDB;PB;0
Luiz Couto (PT-PB);PT;PB;0
Manoel Junior (PMDB-PB);PMDB;PB;0
Pedro Cunha Lima (PSDB-PB);PSDB;PB;0
Rômulo Gouveia (PSD-PB);PSD;PB;6
Veneziano Vital do Rêgo (PMDB-PB);PMDB;PB;35
Wellington Roberto (PR-PB);PR;PB;1
Wilson Filho (PTB-PB);PTB;PB;0
Adalberto Cavalcanti (PTB-PE);PTB;PE;2
Anderson Ferreira (PR-PE);PR;PE;0
André de Paula;PSD;PE;0
Augusto Coutinho (SD-PE);SD;PE;2
Betinho Gomes (PSDB-PE);PSDB;PE;1
Bruno Araújo (PSDB-PE);PSDB;PE;0
Daniel Coelho (PSDB-PE);PSDB;PE;2
Danilo Cabral;PSB;PE;0
Eduardo da Fonte (PP-PE);PP;PE;1
Fernando Coelho Filho (PSB-PE);PSB;PE;0
Gonzaga Patriota (PSB-PE);PSB;PE;0
Jarbas Vasconcelos (PMDB-PE);PMDB;PE;0
João Fernando Coutinho (PSB-PE);PSB;PE;0
Jorge Côrte Real (PTB-PE);PTB;PE;0
Kaio Maniçoba (PMDB-PE);PMDB;PE;1
Luciana Santos (PC do B-PE);PCdoB;PE;6
Marinaldo Rosendo (PSB-PE);PSB;PE;9
Mendonça Filho (DEM-PE);DEM;PE;3
Pastor Eurico (PHS-PE);PHS;PE;0
Ricardo Teobaldo (PTN-PE);PTN;PE;5
Sebastião Oliveira (PR-PE);PR;PE;0
Silvio Costa (PT do B-PE);PTdoB;PE;0
Tadeu Alencar (PSB-PE);PSB;PE;0
Wolney Queiroz (PDT-PE);PDT;PE;0
Zeca Cavalcanti (PTB-PE);PTB;PE;16
Afonso Florence (PT-BA);PT;BA;0
Alice Portugal (PC do B-BA);PCdoB;BA;0
Antonio Brito (PSD-BA);PSD;BA;0
Antonio Imbassahy (PSDB-BA);PSDB;BA;0
Arthur Oliveira Maia (PPS-BA);PPS;BA;2
Bacelar (PTN-BA);PTN;BA;8
Bebeto (PSB-BA);PSB;BA;0
Benito Gama (PTB-BA);PTB;BA;1
Cacá Leão (PP-BA);PP;BA;0
Caetano (PT-BA);PT;BA;8
Claudio Cajado (DEM-BA);DEM;BA;0
Daniel Almeida (PC do B-BA);PCdoB;BA;4
Davidson Magalhães (PC do B-BA);PCdoB;BA;0
Elmar Nascimento (DEM-BA);DEM;BA;0
Erivelton Santana (PEN-BA);PEN;BA;3
Félix Mendonça Júnior (PDT-BA);PDT;BA;3
Fernando Torres (PSD-BA);PSD;BA;5
Irmão Lazaro (PSC-BA);PSC;BA;0
João Carlos Bacelar (PR-BA);PR;BA;4
João Gualberto (PSDB-BA);PSDB;BA;0
Jorge Solla (PT-BA);PT;BA;1
José Carlos Aleluia (DEM-BA);DEM;BA;0
José Carlos Araújo (PR-BA);PR;BA;0
José Nunes (PSD-BA);PSD;BA;0
José Rocha (PR-BA);PR;BA;0
Jutahy Junior (PSDB-BA);PSDB;BA;0
Lucio Vieira Lima (PMDB-BA);PMDB;BA;1
Márcio Marinho (PRB-BA);PRB;BA;0
Mário Negromonte Jr. (PP-BA);PP;BA;0
Moema Gramacho (PT-BA);PT;BA;3
Paulo Azi (DEM-BA);DEM;BA;0
Paulo Magalhães (PSD-BA);PSD;BA;2
Roberto Britto (PP-BA);PP;BA;3
Ronaldo Carletto (PP-BA);PP;BA;3
Sérgio Brito (PSD-BA);PSD;BA;0
Tia Eron (PRB-BA);PRB;BA;1
Uldurico Junior (PV-BA);PV;BA;0
Valmir Assunção (PT-BA);PT;BA;2
Waldenor Pereira (PT-BA);PT;BA;0
Adelson Barreto (PR-SE);PR;SE;3
Andre Moura (PSC-SE);PSC;SE;14
Fábio Mitidieri (PSD-SE);PSD;SE;2
Fabio Reis (PMDB-SE);PMDB;SE;2
João Daniel (PT-SE);PT;SE;2
Jony Marcos (PRB-SE);PRB;SE;1
Laercio Oliveira (SD-SE);SD;SE;1
Valadares Filho (PSB-SE);PSB;SE;2
Arthur Lira (PP-AL);PP;AL;2
Cícero Almeida (PMDB-AL);PMDB;AL;5
Givaldo Carimbão (PHS-AL);PHS;AL;0
Jhc (PSB-AL);PSB;AL;0
Marx Beltrão (PMDB-AL);PMDB;AL;1
Maurício Quintella Lessa (PR-AL);PR;AL;2
Paulão (PT-AL);PT;AL;1
Pedro Vilela (PSDB-AL);PSDB;AL;1
Ronaldo Lessa (PDT-AL);PDT;AL;9
